precinct,Name,n/a,n/a,1D88D3F7-F555-4343-A4A6-481B7F4D5B55,n/a,16C9B17C-7CFF-4F13-9D84-687326F60D38,F901FF06-DDAC-4784-812F-46EC012086C2,A869A967-3995-40D1-BF38-D3D6B5BDCE9B,n/a,FAF3F964-ED31-405C-B894-FFE28FFB5A69,n/a,4B32F748-1155-4BB5-B293-C4CA431F3530,DCD861B8-C3AB-4B9D-8A71-B68CCA0A23B2,84522EF1-9E2D-4037-8FDA-0D9D906E7F6D,E57E94DE-0BDE-4C5C-A75C-6510F9DEB412,D2DC06A2-1437-4CBC-8AD2-898893D1B6B9
11,Ian Goodsell,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
11,Christopher Heigham,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
11,Leba Heigham,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
11,Judson Pierce,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
11,Joyce Radochia,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
11,Matthew Reck,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
11,Carroll Schwartz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
11,Paulette Schwartz,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
12,Benjamin Ames,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
12,Lisa Bielefeld,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
12,Juliana Brazile,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
12,Larry Dieringer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes
12,James DiTullio,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
12,Eric Helmuth,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
12,Gordon Jamieson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Yes,Yes,No,No,No,Yes,Yes
12,Robert Jefferson,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No
12,Caroline Murray,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes
12,Helene Newberg,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
12,Jeffrey Thielman,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
12,Sanjay Vakil,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
13,Kristin Anderson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Abstain,Yes,Abstain,Yes,Yes
13,Lynn Bishop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
13,Michael Byrne,Yes,Yes,Abstain,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
13,John Deyst,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
13,Mary Deyst,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
13,DeAnne Dupont,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Abstain,No,No,Yes,Yes
13,Laura Fuller,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
13,David Good,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
13,Zachary Grunko,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,Yes
13,Marie Krepelka,,,No Verbally,,,,No Verbally,,Yes Verbally,,,,,,Yes Verbally
13,Lee Poage,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
13,Priya Sankalia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,No,No,Yes,Yes
14,Elisabeth Carr-Jones,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
14,Richard Gallagher,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
14,Amy Goldstein,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
14,Guillermo Hamlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes
14,Michaiah Healy,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Abstain,Yes,No,Abstain,No,Yes
14,Alan Jones,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
14,Diane Mahon,Yes,Yes,Yes,Yes Verbally,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
14,Christopher Moore,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
14,Brendan O'Day,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
14,Adam Pachter,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Abstain,Yes
14,Michael Stern,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
14,Joseph Tully,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Yes
15,Kirsi Allison-Ampe,Yes,Yes,Yes,Yes,No,Abstain,Abstain,Yes,Yes,Yes,No,No,No,Yes,Yes
15,Gregory Christiana,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
15,Frank Ciano,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes
15,Joseph Curro,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
15,Rachelle Dobbs,Abstain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
15,Elizabeth Exton,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
15,Beth Ann Friedman,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
15,Naomi Greenfield,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
15,Annie LaCourt,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
15,Nancy Mara,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
15,Jane Morgan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
15,Amy Speare,Yes,No,Yes,No,Abstain,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
16,Lauren Boyle,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,,Yes,No,No,Yes,Yes
16,Holly Czapski,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
16,Chris DiMeo,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
16,Deanna Graham,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,Brooks Harrelson,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
16,Kevin Koch,Yes,No,No,No,Abstain,No,No,Yes,Yes,Yes,Yes,Yes,Abstain,Yes,Yes
16,Marvin Lewiton,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
16,Carol Luddecke,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,No,No,Yes,Yes
16,Sandra Mostajo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
16,Allen Reedy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
16,Barbara Thornton,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
16,John Weiss,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
17,Joshua Arnold,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
17,Michael Brown,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,
17,Sarah Burks,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
17,John Finochetti,,,,,,,,,,,,,,,
17,Ann Fitzgerald,Yes,Yes,Yes Verbally,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
17,Laura Gitelson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
17,John Leonard,,,Yes Verbally,,,,Yes Verbally,,Yes Verbally,,,,,,Yes Verbally
17,Ann LeRoyer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
17,Angela Olszewski,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
17,Amy Slutzky,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
17,Allan Tosti,Yes,Yes,Yes,Yes,No,No,No Verbally,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes Verbally
17,Susan Webber,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
18,Nancy Bloom,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
18,Shirley Canniff,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
18,Heather Cooke,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
18,John Donato,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
18,William Ford,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No Verbally,Yes,Yes,Yes,Yes,Yes
18,Jon Gersh,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Abstain,No,Yes,Yes,Yes,No,Yes
18,Jeffrey Hadden,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
18,Gilbert Irizarry,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
18,David Levy,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
18,Daniel Parmer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
18,Carolyn Parsons,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes
18,Michael Watson,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
19,Melanie Brown,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
19,Deborah Butler,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Abstain,Yes,Yes
19,Dganit Cohen,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
19,Neva Corbo-Hudek,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain,Abstain,Abstain,Yes
19,Elaine Crowder,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Abstain,No,Yes
19,Christine Deshler,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No
19,Michelle Durocher,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
19,Claire Johnson,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
19,Flynn Monks,Yes,Yes,Yes,No,Yes,Abstain,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
19,James O'Conor,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
19,Jonathan Rabinowitz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain,Abstain,Abstain,Yes
19,Edward Trembly,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No
20,Dean Carman,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
20,Curtis Connors,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
20,Samantha Dutra,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,
20,Peter Fuller,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
20,Maureen Gormley,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
20,Camilla Haase,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
20,Leonard Kardon,Yes,,,,,,,No,Yes,Yes,No,No,No,Yes,Yes
20,Michaela May,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
20,Patricia Muldoon,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
20,Kristin Pennarun,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
20,Katharine Radville,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
20,Robert Tosi,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
21,Beth Benedikt,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
21,Susan Doctrow,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
21,Daniel Dunn,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Abstain,Yes
21,Anne Ehlert,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,No,Yes,No,Yes,No,Yes
21,Pamela Hallett,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes Verbally,Yes,Yes,No,No,No,No,Yes
21,Lori Leahy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Abstain,No
21,Leslie Mayer,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21,Zarina Memon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Abstain,Yes,Yes
21,Christopher Rowell,Yes,Yes,No,Abstain,No,No,No,Yes,Yes,No,No,No,Yes,No,No
21,Janice Weber,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No Verbally,No,,Yes,Yes
21,Jordan Weinstein,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
21,David White,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
